"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25","3.25","3.27777777777778","3.25","3.25","3.33333333333333","3.30555555555556","3.23684210526316","3.23684210526316","3.30555555555556","3.36111111111111","3.27777777777778","3.18421052631579","3.30555555555556","3.23684210526316","3.23684210526316","",
"Afganistán","AFG","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","",
"","AFW","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23684210526316","3.18421052631579","3.21052631578947","3.21052631578947","3.175","3.175","3.175","3.15","3.175","3.175","3.075","3.075","3.075","3.075","3.1","3.15","",
"Angola","AGO","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3.5","3.5","3.5","3","3","","","","","","","","",
"Albania","ALB","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","","","","","","","","","","","","","","","",
"Andorra","AND","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","2.7","2.7","2.8","2.9","2.8","2.8","2.8","2.8","2.7","2.7","2.58333333333333","2.7","2.58333333333333","2.66666666666667","",
"Emiratos Árabes Unidos","ARE","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Calificación de igualdad de género de la CPIA  (1=bajo a 6=alto)","IQ.CPA.GNDR.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
