"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97222222222222","2.96111111111111","2.96111111111111","2.94444444444444","2.95","2.93333333333333","2.91666666666667","2.86842105263158","2.84736842105263","2.92777777777778","2.91111111111111","2.91666666666667","2.83684210526316","2.87777777777778","2.78947368421053","2.76842105263158","",
"Afganistán","AFG","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","2.2","2.2","2.4","2.4","2.5","2.5","2.5","2.5","2.5","2.6","2.6","2.6","2.6","2.6","",
"","AFW","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98947368421053","2.97894736842105","2.97894736842105","2.95263157894737","2.975","2.995","3.04","2.99","3","2.99","3.01","3.015","3.015","3.015","3.05","3.05","",
"Angola","AGO","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.4","2.4","2.3","2.3","2.3","","","","","","","","",
"Albania","ALB","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.3","","","","","","","","","","","","","","","",
"Andorra","AND","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.66","2.62","2.64","2.66","2.68","2.66","2.66","2.64","2.64","2.64","2.62","2.62","2.4","2.54","2.45","2.43333333333333","",
"Emiratos Árabes Unidos","ARE","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.7","3.7","3.7","3.7","3.7","3.6","3.7","3.7","","","","","","","","",
"Samoa Americana","ASM","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Promedio grupal de instituciones y gestión del sector público de la CPIA (1=bajo a 6=alto)","IQ.CPA.PUBS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.2","3.2","3.2","3.2","3.1","","","","","","","","","","","",
