"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8169066973263","24.0021759240417","26.2441338410443","26.9120668483332","27.9464898030249","30.6616103820168","29.6952196490838","31.2698552466196","30.2075058605104","29.8127372942476","28.606002540871","","",
"Afganistán","AFG","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.21900488764758","3.63243468680187","1.90069271021624","3.5202727968717","2.99896626467183","2.69736656214003","3.72381570671916","3.61702195556776","4.87605245432057","5.99866510787263","3.96948482318683","4.53061562295213","","","","",
"","AFW","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4359833757876","20.9780412153572","21.7737269767287","","","",
"Angola","AGO","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7554167840476","48.6099348372236","43.3658463903995","43.719134019082","42.6783479349186","49.9130233735921","55.9826442710848","43.1883945960986","39.1055333055084","48.7412508466923","54.7611603545528","34.14945364822","27.6106701177335","31.9188716823152","29.7385697214622","30.6616103820168","40.2472027652956","42.4108798716178","39.413852761161","32.7778077849125","34.7558193320894","","",
"Albania","ALB","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31968827077331","10.0285478469419","6.48438395217894","6.52351418583704","","","","13.8813241723468","13.4806672341179","14.8345830516409","","","","","","","14.7372410256905","14.2052561031126","14.3311500451436","13.8136820719343","14.9190019181277","11.4817193553893","15.5303922678323","16.6811619448864","18.3744841343344","","",
"Andorra","AND","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39129523836129","2.23801505546751","3.02127720730367","8.11846143506799","10.6247141681149","10.3077173874001","13.2142031974664","13.6252595425022","15.8538750161099","16.1976901079426","17.0405501659085","17.977455246801","13.0419175281154","16.0315549269462","18.8897776425385","19.8298881184074","18.6619929052431","14.2354844249788","13.0827459285192","11.3574525723476","11.5611927566893","13.0207437952904","13.1251461222574","13.4674417329858","13.8493099484698","15.157971390293","12.3798741053662","12.9299128513563","10.4399989344901","8.41930913694091","","",
"Armenia","ARM","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5246469217114","16.3275267690599","18.630676237315","17.5144926786142","16.8371018522924","19.6583914106229","18.6189207567463","19.4124056956319","21.3143445505382","36.2759374012382","33.8641915681785","35.6675603200118","39.8486936106714","36.9468502138763","40.1385915350493","37.3923204978506","","",
"Samoa Americana","ASM","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","58.3250797843073","59.0031988442885","61.3564025136701","64.5727365208545","62.8706557551281","63.2191191780202","63.3420063602197","60.4510993176649","60.8246073298429","62.1848972792893","63.2686702661379","61.2029124520405","58.8612495284985","59.7918605634995","59.4204863936353","60.6444465208164","61.7654485768912","64.3134067720289","65.0572434159958","66.3138838601866","65.6170983215925","65.7113047747637","64.0424074627874","64.6873960467111","66.0425926518083","67.1991915529169","67.1414289335098","65.505010084195","66.7154084111551","65.0272682201289","62.37870863132","62.7265456552343","63.2959600268113","65.0065520327282","65.231562163966","65.6901817575338","66.282760179411","64.9510754356031","61.2852808678864","63.3455252701376","65.5173098864172","64.2009595547921","63.6584009614424","64.8823935269397","64.2174923031831","64.0957537760046","65.1717967221594","65.877025247387","","",
"Austria","AUT","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","20.4575666410131","19.8717948717949","21.5555907339982","20.5168134702419","19.7220996912219","19.9496340599669","21.4371918209717","20.962361530715","20.8801660038042","20.7812581707891","20.27315944362","20.0100565079974","20.1785675208438","19.3039569856339","19.4130063322947","18.2608695652174","19.4284380777999","17.8311312186177","18.8292776088998","19.4832679335126","19.9519615692554","20.5091738417384","19.1642739324333","25.5216952741987","27.2177139605018","28.4473601649604","28.7474074957786","27.7906922755142","27.7127145280781","30.119058548418","28.3219783802428","28.2168389249852","27.8828792998736","26.8957543495569","27.1466827472177","28.1433699328614","29.0302638886835","26.0059887127633","26.4445584408625","26.6606395018996","26.9932887356425","27.3637576864748","27.9240564991328","28.7077989931565","26.4255771633301","27.0209535535455","27.5015833197486","27.640727644062","","",
