Paises,IDH,Recaudacion_impositiva,Impuestos_sobre_la_renta,Impuestos_Comercio_Internacional
ALBANIA,"0,795",18.5157898553099,14.9190019181277,Medio bajo
ALEMANIA,"0,947",11.4787289586211,16.7949586929979,Bajo
ANGOLA,"0,581",11.0020191367023,40.2472027652956,Medio alto
ARABIA SAUDITA,"0,854",3.33440372298484,2.38259228913618,Medio bajo
ARGENTINA,"0,845",12.3365069418291,15.157971390293,Medio alto
ARMENIA,"0,776",20.931220827141,35.6675603200118,Medio alto
AUSTRALIA,"0,944",21.8842698435874,64.8823935269397,Medio bajo
AUSTRIA,"0,922",26.8261674155428,28.7077989931565,Bajo
AZERBAIYA!N,"0,756",15.6031629275469,17.293334121707,Medio bajo
BA(C)LGICA,"0,931",24.3545378057285,34.6807838104686,Bajo
BAHAMAS,"0,814",12.644811431551,0,Alto
BARBADOS,"0,814",25.3918081442206,29.661037364218,Medio alto
BELICE,"0,716",25.1010456351794,25.7194318788486,Alto
BOSNIA Y HERZEGOVINA,"0,780",19.9342163954154,6.79875799309685,Bajo
BOTSWANA,"0,735",26.2180600148903,28.4386935992956,Alto
BRASIL,"0,765",13.6297167912164,22.8637187468164,Medio bajo
BULGARIA,"0,816",20.2362874764557,15.2719194218448,Bajo
BURKINA FASO,"0,452",13.2802007024398,18.3486425186301,Alto
CABO VERDE,"0,665",18.7780857967901,18.8979799501867,Alto
CAMBOYA,"0,594",14.5828781049436,18.1836758612796,Alto
CAMERAºN,"0,563",12.1109695913977,27.595526875908,Alto
CANADA!,"0,929",12.3898109063213,54.0111395589094,Medio bajo
CHILE,"0,851",17.4437618328528,29.8299639891895,Medio bajo
CHINA,"0,761",9.37692044713406,20.6405207284472,Medio bajo
CHIPRE,"0,887",24.1283263957382,23.2098008293908,Bajo
COLOMBIA,"0,767",15.797262655066,24.9649238601377,Medio bajo
COSTA RICA,"0,810",13.2539942164374,15.5129828607245,Medio alto
CROACIA,"0,851",20.5807521419355,6.76873856557622,Bajo
DINAMARCA,"0,940",33.9216190603815,45.2838868257167,Bajo
EL SALVADOR,"0,673",16.7526849094045,25.6199915077331,Medio bajo
EMIRATOS ARABES UNIDOS,"0,890",0.0577340241915802,0,Bajo
ESLOVENIA,"0,917",18.4938830799173,9.66174657858972,Bajo
ESTADOS UNIDOS,"0,926",11.2091342735892,54.1505230568389,Medio bajo
ESTONIA,"0,892",21.6706972617707,20.8373751783167,Bajo
ETIOPA-A,"0,485",8.35133826701354,21.4022768279758,Alto
FILIPINAS,"0,718",13.0196105917538,41.3435413618142,Alto
FINLANDIA,"0,938",20.4707051115264,15.1765832783908,Bajo
FRANCIA,"0,901",23.197715462657,25.4882244795251,Bajo
GABA³N,"0,703",12.8300685455322,27.3148767680448,Alto
GEORGIA,"0,812",22.7514365699131,33.5038574198606,Bajo
GHANA,"0,611",17.9510330992259,,
GRECIA,"0,888",24.8813760283753,17.9493490192218,Bajo
GUATEMALA,"0,663",10.3582515698864,32.9124524836331,Medio alto
GUINEA ECUATORIAL,"0,592",11.4567349338539,37.4066446798024,Medio bajo
HONDURAS,"0,634",17.3444720611594,23.3649272636053,Medio bajo
HUNGRA-A,"0,854",23.2284182846341,15.1792835641058,Bajo
INDIA,"0,645",10.5697090519718,42.8559410359832,Alto
INDONESIA,"0,718",10.7534877772096,39.9883726135378,Medio bajo
IRLANDA,"0,955",18.7827703758574,38.9190917054586,Bajo
ISLANDIA,"0,949",22.6894441179314,27.9733719094344,Bajo
ISLAS MARSHALL,"0,704",17.3469175140345,10.9671439255967,Medio alto
ISLAS SALOMA³N,"0,567",25.755812062639,21.8337040245852,Alto
ISRAEL,"0,919",23.3218841588758,29.8235695467222,Bajo
ITALIA,"0,892",24.739527170909,32.70388705263,Bajo
JAMAICA,"0,734",24.8153092563686,33.3462761425523,Medio alto
JORDANIA,"0,729",14.9510256180555,12.6333446139811,Medio alto
KENIA,"0,601",14.8394826504099,37.4288925779993,Medio alto
KIRGUISTA!N,"0,697",16.801668055009,11.1963954237904,Medio alto
KIRIBATI,"0,630",22.087476376598,5.68975707297357,Medio bajo
