Country Name,Country Code,V1_2015
Aruba,ABW,
"",AFE,7.58527175595435
Afganistán,AFG,4.57093222159508
"",AFW,
Angola,AGO,4.98051531369722
Albania,ALB,2.91030192689484
Andorra,AND,
El mundo árabe,ARB,
Emiratos Árabes Unidos,ARE,0.200158092270431
Argentina,ARG,8.04531805696767
Armenia,ARM,5.13354500553615
Samoa Americana,ASM,
Antigua y Barbuda,ATG,
Australia,AUS,2.73373894499153
Austria,AUT,0
Azerbaiyán,AZE,3.0698194445191
Burundi,BDI,
Bélgica,BEL,0
Benin,BEN,
Burkina Faso,BFA,11.1841544099697
Bangladesh,BGD,23.7259192945484
Bulgaria,BGR,0.050174996794284
Bahrein,BHR,
Bahamas,BHS,28.2604840100903
Bosnia y Herzegovina,BIH,0.000112324902531252
Belarús,BLR,14.1143339316776
Belice,BLZ,25.0391770983553
Bermudas,BMU,
Bolivia,BOL,
Brasil,BRA,2.22120443489956
Barbados,BRB,9.15021772465383
Brunei Darussalam,BRN,
Bhután,BTN,5.00974434475077
Botswana,BWA,32.5813822967567
República Centroafricana,CAF,19.0901138903932
Canadá,CAN,1.45111844764857
Europa Central y del Báltico,CEB,0
Suiza,CHE,0.888032140925732
Islas del Canal,CHI,
Chile,CHL,0.964231376559417
China,CHN,2.35971757942166
Côte d'Ivoire,CIV,25.8528778033818
Camerún,CMR,11.4226831987567
"Congo, República Democrática del",COD,
"Congo, República del",COG,9.54129736806282
Colombia,COL,2.21766054327845
Comoras,COM,
Cabo Verde,CPV,12.1205443855927
Costa Rica,CRI,5.1594489073277
Estados pequeos del Caribe,CSS,7.30378234796367
Cuba,CUB,
Curacao,CUW,
Islas Caimán,CYM,
Chipre,CYP,0.0569476082004556
República Checa,CZE,0
Alemania,DEU,0
Djibouti,DJI,
Dominica,DMA,
Dinamarca,DNK,0.0389150049047826
República Dominicana,DOM,5.50676670846929
Argelia,DZA,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,3.47219360158956
inicial del dividendo demográfico,EAR,5.0555323320581
Asia oriental y el Pacífico,EAS,2.82410926818532
