"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.737957456998","8.19883029987125","7.50091742302221","10.0570609930815","6.9516607142751","7.84333818358788","7.58527175595435","8.32387465792788","7.73681706636704","7.56895978614535","7.83302593558603","","",
"Afganistán","AFG","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1855199886133","8.46396731117203","3.16148854243017","4.84404133483751","4.55485875503042","3.83063551305111","4.22465221322185","3.70364318455009","3.80654923800864","4.57093222159508","6.38124658640702","7.42258902919388","","","","",
"","AFW","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7571626227517","13.2518128940006","11.7646028641911","","","",
"Angola","AGO","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99433707468756","1.56262574673678","3.23837706474214","4.51136912550104","4.46534077988746","4.6389132320074","4.23118264300053","2.25396229835843","2.63321377261143","3.7915231993678","8.5665592264303","3.78238688013654","2.39795754931545","2.51380816250954","2.64070688268218","4.11500237570181","4.98051531369722","3.43629474473578","3.62848883162205","2.70672264851541","2.87246416369235","","",
"Albania","ALB","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7832404087301","17.3394533739183","17.8355329466901","14.0738679073682","","","","8.90334138394167","8.30558773998592","7.56435479675994","","","","","","","3.44894327789941","3.89082209684152","3.56489156410578","2.90207301138316","2.91030192689484","1.65802000478809","1.58693111994199","1.46927972435297","1.50091269603079","","",
"Andorra","AND","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","0.00887635235520561","0.00791003525101045","0.214300856248501","0.255427820564014","0.200158092270431","0.186508205851348","0.0784834360565302","0.0396659322155049","0.0525227491597606","","",
"Argentina","ARG","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2206640313997","7.8783676703645","7.82248155041211","7.61693810345214","7.29586703427369","5.22403936748977","6.55441159067471","7.56897491068223","6.58282207097124","5.56478572579346","4.89336936910107","4.28447556301105","13.6385323185278","16.4708689217667","15.7995448676603","15.8235331040068","14.6467260754154","15.728660258632","20.1240518414403","13.684638787432","15.6701983126057","15.326104507233","13.8779429492198","10.7173488501633","10.7564308889433","8.04531805696767","7.11252576635238","6.40974557980346","7.44936072469368","13.1642290849889","","",
"Armenia","ARM","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15568182101539","3.43863654511225","3.16068557905983","3.43756344968819","4.48593155670185","3.47576747734569","3.60305493286515","3.93438997600871","4.36176967057779","4.2554750849423","4.01128389567427","5.13354500553615","4.64871754950013","5.70947836213009","5.87680176634564","6.01767322966446","","",
"Samoa Americana","ASM","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
